	5dhg_	4djh_	4n6h_	4dkl_	6c1r_	3odu_	5t1a_	4mbs_	5lwe_	5vbl_	4zud_	5ung_	3vw7_	5ndd_	4xnw_	4pxz_	4zjc_	4s0v_	5zbq_	5x93_	4xes_	1u19_	5uen_	4eiy_	5x33_	4phu_	5xsz_	5tgz_	3v2y_	4z35_	4ib4_	5wiv_	6cm4_	3pbl_	4bvn_	2rh1_	3rze_	4iar_	3uon_	5dsg_	5cxv_	4u15_	5zkq_
GPR85	16.5	17.39	17.96	18.93	18.81	16.08	18.59	16.75	18.54	15.96	15.87	17.31	15.2	15.69	14.71	14.71	16.91	16.91	22.01	14.35	16.59	20.2	19.71	20.2	15.84	17	15.05	16.27	15.94	14.95	22.22	21.08	21.61	21.29	18.63	20.1	17.87	18.05	20.56	21.03	21.5	17.76	13.81
GPR27	20.62	20	21.65	19.59	21.69	16.49	19.58	19.47	19.9	20.2	18.97	17.53	16.75	17.37	17.19	14.14	22.84	18.27	17.26	18.5	18.72	22.87	19.69	19.9	21.76	19.15	14.14	17.01	20.83	17.22	24.23	25.77	22.11	22.4	20.31	17.19	17.19	16.58	21.67	22.17	21.18	18.72	12.89
GPR78	19.91	19.07	19.91	19.53	20.29	14.29	14.42	14.61	16.2	16.89	15.67	19.16	15.31	20.28	15.09	20.56	25.35	23.83	15.28	18.86	16.14	19.02	18.66	20.85	21.13	22.39	17.51	16.04	19.14	14.36	16.91	23.44	20.49	20.1	18.96	17.06	23.04	19.62	19.35	18.89	18.89	18.89	17.67
GPR62	21.9	15.79	17.62	15.79	20.6	20.2	16.18	15.12	18.05	20	17.31	20.49	16.75	20	15.76	16.18	20.39	18.36	19.14	20.66	21.23	19.39	16.75	21.57	22.66	22.56	14.56	16.59	19.7	20	18.41	24.26	22.73	23.76	21.39	18.41	17.59	23.53	16.27	16.27	18.66	16.75	16.18
GPR150	16.96	17.47	19.15	17.03	19.56	16.67	12.55	13.92	17.09	16.39	17.52	17.24	15.35	16.45	14.22	13.68	20	18.64	19.33	17.67	19.67	18.22	17.32	19.48	24	14.09	15.13	16.6	19.31	19.72	15.28	17.98	18.39	19.03	19.4	15.95	17.7	16.96	15.02	15.45	17.17	15.02	13.98
GPR148	10.88	10.82	10.77	10.36	12.23	10.16	12.37	14.06	12.17	12.18	12.37	11.46	14.97	15.26	13.16	12.7	11.17	11.64	14.95	17.73	11.44	14.29	16.06	17.55	13.37	16.04	12.57	14.58	12.63	11.6	13.68	19.05	17.49	17.2	16.75	14.66	15.96	15.34	16.75	15.74	17.77	14.72	7.73
GPR75	17.97	15.81	14.68	16.67	15.05	17.92	17.45	19.16	22.07	18.69	15.74	16.98	17.29	16.2	15.28	18.81	19.91	19.35	14.29	16.07	17.86	17.58	14.29	15.91	20	15.42	15.45	18.06	20.93	19.85	16.43	17.54	20.77	20.28	18.87	16.98	16.04	15.67	16.43	17.37	18.78	19.25	10.48
GPR88	21.7	18.4	21.23	20.28	19.9	19.61	16.59	16.1	18.05	21.9	16.9	20.95	16.83	16.27	16.19	17.14	21.1	18.26	19.18	14.55	16.52	18.55	19.46	20.63	19.02	19.5	11.85	20.81	19.82	19.28	17.27	21.46	21.6	22.94	26.27	18.72	20.55	21.82	20	21.36	19.09	17.73	15.98
GPR149	12.56	10.86	10.39	10.81	11.9	12.61	8.68	10.76	12.5	10.41	10.31	12.33	11.21	12.89	10.86	10.41	11.31	9.91	11.61	11.54	12.55	14.52	14.35	13.36	13.82	13.43	10.04	12.44	14.29	15.14	11.21	13.9	14.81	14.41	13.97	11.79	17.94	15.42	13.22	14.85	15.04	15.11	17.29
GPR160	15.42	15.5	14.71	14	15.46	13.07	13.57	13.5	17.09	13.5	14.85	16.58	14.07	14.36	16.83	16	14.78	13.73	11.76	15.31	12.15	13.85	17.79	14.35	10.2	15.9	14.36	14.56	16.75	12.83	13.17	14.78	15.82	15.92	14.01	15.94	17.65	16.43	12.68	12.68	13.66	13.17	11.74
GPR151	19	17.27	18.02	16.82	20.67	18.31	21.23	23.15	21.66	14.67	17.94	21.27	15.77	17.04	18.18	15.91	21.52	20.98	20.45	18.26	19.13	16.48	16.89	16.23	23.26	20.29	14.67	14.48	15.32	12.03	18.18	19.82	17.84	18.89	21.66	19.82	19.09	19	22.52	20.72	20.27	20.81	10.34
GPR141	20.55	19.35	18.55	16.51	18.01	18.78	14.55	15.28	18.98	15.98	15.6	16.67	16.43	17.76	20	16.67	15.14	16.06	18.81	14.1	16.44	15.23	13.76	14.09	18.87	11.44	19.72	11.98	10.19	12.81	14.29	12.21	16.5	14.62	12.96	18.06	13.95	15.07	11.11	12.5	10.65	12.5	16.07
GPR142	17.19	13.64	15.77	13.64	15.24	15.21	17.97	19.27	17.73	16.22	15.7	17.27	15.98	17.35	13.64	16.13	16.74	17.12	18.02	11.89	22.71	16.95	17.78	18.39	18.06	15.64	11.76	17.78	19.28	16.09	17.94	17.94	16.67	17.19	14.93	17.19	15.25	13.78	16.59	16.59	19.28	18.02	15.53
GPR139	19.37	18.55	18.39	17.65	17.14	22.12	21.66	20.18	18.64	17.57	21.08	20.91	16.44	19.09	18.18	18.81	19	20.72	19.37	17.98	22.17	17.57	21.68	20.98	19.91	14.22	19.37	18.14	20.54	18.03	15.7	16.59	21.3	19	17.65	19.91	17.04	16	17.49	17.94	18.83	18.02	14.41
GPR39	19.42	20.25	21.4	20.25	19.91	17.45	17.02	17.23	17.65	21.4	19.42	20.17	17.99	18.75	22.59	15.9	20.58	19.26	21.05	20.95	31.89	18.11	20.82	19.67	19.15	16.81	19.83	17.7	16.6	12.65	22.82	22.27	21.98	21.52	22.41	20.75	20	21.72	18.29	19.51	21.54	19.92	16.14
GPR45	19.1	19.4	20.15	20.22	21.84	23.11	21.21	22.18	23.31	25.83	23.36	17.41	18.22	20.77	21.97	18.18	25.99	25.54	23.4	22.54	21.83	19.56	22.96	26.02	22.9	18.47	21.43	19.26	20.15	24.2	26.49	24.25	27.27	25.47	25.84	24.25	21.13	27.24	25.29	26.46	26.85	25.29	14.34
GPR83	28.63	25.86	27	28.14	23.64	24.03	25.1	25.29	23.08	22.01	26.77	24.34	22.09	22.01	21.76	21.32	30.82	32.14	31.23	22.46	22.86	21.62	23.9	24.63	23.74	18.07	23.66	20.6	19.92	23.36	22.79	22.76	24.62	24.81	23.88	26.67	23.79	21.27	20.69	20.69	20.31	21.84	22.01
GPR50	22.48	22.48	22.01	25.97	18.11	23.26	22.69	23.46	20.16	21.29	23.4	22.05	19.92	19.14	20	20.47	24.73	26.09	25.63	22.51	18.05	21	24.34	25.09	22.78	16.47	17.97	17.42	19.47	16.74	25	25.47	25.1	26.04	22.26	22.1	24.62	21.8	21.62	21.62	21.24	23.17	21.89
GPR61	22.66	20.62	21.01	19.84	23.81	20.55	18.11	19.07	21.18	18.25	19.77	18.32	17.87	16.29	18.6	16.54	22.43	20.88	22.71	18.28	21.98	21	22.55	23.38	22.4	18.07	15.18	18.73	19.32	18.57	22.99	29.89	24.91	26.57	25.74	23.36	21.64	23.05	23.05	23.05	22.27	19.53	21.09
GPR63	24.12	22.87	23.94	22.87	21.03	24.41	20.47	21.32	22.18	24.15	22.26	18.11	20.75	19.62	20.38	22.66	23.36	24.09	21.32	19.85	20.29	17.65	23.36	23.64	21.03	18	20.69	19.56	21.27	23.36	25.27	22.88	26.22	27.78	26.2	24.54	22.06	26.94	22.96	22.57	24.12	22.66	17.97
GPR19	23.83	22.18	21.79	22.96	18.58	22.05	16.47	16.28	23.44	23.11	20.45	20.15	18.6	18.46	20.54	20.78	26.39	24.81	21.85	18.96	21.03	20.64	23.13	23.42	24.3	15.51	20.85	17.16	19.17	14.76	23.53	25.56	25.37	28.25	22.76	25.56	20.75	24.44	27.45	25.88	23.53	24.31	23.75
GPR84	20.16	22.48	21.43	22.78	21.91	19.46	22.44	22.22	19.77	21.84	18.63	21.92	19.23	20.15	22.66	21.26	26.12	25.28	24.54	25.9	18.91	24.43	20.65	21.3	21.6	18.88	17.31	18.61	20.3	17.65	21.17	23.44	24.91	23.9	24.46	22.5	20.74	22.63	21.15	22.31	22.31	19.69	18.29
GPR52	18.82	19.92	19.92	19.92	18.8	19.2	17.93	18.5	19.76	19.08	19.92	18.39	16.02	14.01	18.11	18	22.59	24.44	19.12	18.28	18.91	17.19	24.18	26.57	19.68	16.6	18.18	19.63	22.85	22.07	22.1	22.43	23.13	21.85	26.47	25.18	23.25	22.96	22.31	21.92	26.54	26.92	20.23
GPR21	18.43	20.31	18.36	17.97	17.6	17.6	17.93	18.5	18.18	17.18	21.46	17.62	17.97	14.79	17.72	17.2	22.59	22.96	19.12	17.16	19.27	19	23.08	25.83	21.29	16.6	18.58	22.59	22.1	20.19	21.74	20.59	22.76	22.22	26.84	22.99	21.03	23.33	23.46	21.15	24.62	26.92	17.19
GPR26	18.49	18.42	20.3	16.92	20.08	20	19.62	19.32	18.63	19.33	21.4	14.55	19.55	21.35	15.59	16.99	19.27	19.57	16.07	16.19	16.9	18.67	18.86	17.2	21.71	21.57	19.77	19.06	16.06	17.81	17.92	20.14	21.9	22.83	20.86	18.57	23.19	19.86	21.51	22.26	23.77	23.11	18.75
GPR12	18.9	16.54	16.14	17.32	19.11	18.47	19.28	19.37	17.86	21.4	17.05	17.19	16.33	17.39	17.6	18.55	19.92	19.47	18.56	22.73	18.8	17.43	25.19	25.28	21.54	13.99	18.25	27.04	28.84	29.11	16.92	21.89	25.67	24.71	25	26.04	24.24	25.38	23.32	23.72	23.32	23.02	17.36
GPR6	17.65	19.22	20.39	18.82	23.48	18.8	18.4	17.72	20.55	19.07	19.31	17.19	18.25	16.93	16.73	19.28	18.77	18.32	19.25	20.38	17.23	18.81	23.97	24.81	20.65	17.7	16.21	26.94	28.36	27.1	19.17	25.19	27.86	26.89	26.04	25.19	23.48	26.79	25.69	27.27	26.09	26.59	16.93
GPR3	18.11	18.5	19.29	18.11	24.39	19.68	18.88	19.37	19.84	20.62	18.22	21.09	18.33	18.18	18.4	16.53	19.92	19.08	21.59	21.21	18.8	19.72	24.44	24.91	20.73	16.05	16.67	26.3	27.34	26.29	18.05	24.53	25.29	26.24	26.14	24.15	24.24	26.52	23.72	23.72	24.11	25	14.9
GPR135	23.02	18.05	21.05	20.3	22.18	21.57	19.92	19.23	18.92	19.78	18.35	18.05	17.74	17.67	19.08	20	24.09	22.55	24	18.05	18.35	20.43	22.91	24.82	24.42	15.87	18.32	20.8	20.96	19.63	20.79	24.54	21.72	23.62	26.37	20.15	24.18	23.72	23.08	21.92	24.23	21.92	19.69
GPR161	22.75	21.96	21.48	21.88	22.49	20.08	20.8	19.76	20.24	20.62	20.85	21.09	21.88	18.29	22.13	18.65	23.77	24.44	19.63	15.99	19.71	19.55	22.51	25.19	21.95	16.87	18.82	18.38	20.82	20.47	22.79	24.91	25.76	24.63	26.39	24.44	21.56	27.78	26.09	24.11	24.51	22.92	19.55
GPR101	19.69	19.29	18.77	17.65	17.34	20.87	23.9	22.09	19.29	17.97	19.38	20.78	19.14	16.67	16.21	18.65	20.99	19.77	18.42	17.45	18.45	18.1	22.39	20.45	19.92	18.67	21.4	17.78	16.48	15.67	22.96	22.1	20.99	21.05	26.94	25	21.43	23.88	23.2	23.2	21.6	19.68	20.54
P2RY10	25.1	26.62	22.85	24.33	26.15	24.06	22.26	21.19	23.81	26.94	25.09	26.49	24.91	27.64	28.26	28.01	18.49	21.8	23.4	19.35	19.33	23.21	17.11	18.11	21.37	18.53	32.08	14.18	19.62	18.47	21.71	19.84	21.96	18.92	18.99	17.83	20.95	17.44	20.16	21.37	20.97	20.65	15
GPR174	24.05	26.52	25.86	24.81	26.54	23.11	22.05	21.35	26.22	26.67	25.93	29.59	28.52	31.37	30.22	26.95	18.35	20.52	21.8	19.93	18.08	21.43	18.15	20.46	22.99	19.53	30.9	16.54	21.15	17.81	23.26	25.29	21.96	20.93	21.18	20.39	22.92	17.51	20.97	20.97	20.97	22.67	30.1
GPR20	29.6	28.51	27.27	27.2	25	25.93	23.87	24.59	23.08	23.89	23.29	28.16	29.69	33.33	28.69	22.96	22.67	21.77	24.19	18.43	23.02	20.85	21.77	23.11	22.67	26.56	28.14	19.68	16.53	19.05	22.04	23.48	21.95	26	23.17	22.36	22.82	27.94	18.83	20.5	20.92	19.33	32.75
GPR35	28.8	27.6	27.38	25.6	24	23.81	21.34	22.66	26.27	24.12	22.96	24.8	25.77	20.99	27.86	21.56	23.44	23.35	22.57	22.18	19.62	22.54	21.83	22.05	26.61	22.95	28.68	18.5	17.79	20.95	19.44	22.71	22.4	23.32	21.51	19.12	21.95	21.03	20.25	21.9	22.73	19.83	24.81
GPR87	24.05	25.1	23.86	27.1	24.43	26.79	24.91	26.49	23.51	25.28	27.14	24.06	23.88	25.19	26.81	45.1	19.85	20.9	18.8	19.49	19.93	18.83	19.77	20.38	19.54	20.95	25.17	16.22	17.44	20.45	20.93	21.09	23.72	23.26	21.57	19.22	21.43	19.77	21.46	22.27	19.03	20.24	25.46
GPR171	20.08	22.69	23.37	25.1	24.43	23.4	21.51	20.9	19.4	21.43	22.56	22.05	22.93	25	24.28	34.63	18.94	19.62	17.49	18.98	19.78	17.73	16.86	17.51	17.24	18.65	27.82	12.5	16.86	16.06	22.35	17	19.2	16.86	17.86	19.44	16.87	14.9	18.03	15.57	18.85	18.44	27.02
GPR34	23.86	25.28	24.63	25	21.37	26.49	23.88	22.43	26.28	20.51	26.74	23.7	27.11	29.09	24.73	31.34	20.97	23.13	19.85	20.64	19.49	20	17.36	18.73	21.97	19.23	29.11	16.41	17.62	17.49	19.23	19.69	22.35	21.84	17.76	18.15	21.57	19.23	21.2	22.8	20.4	22.49	27.21
GPR31	25.09	24.25	27.01	25.37	24.23	23.31	24.05	24.07	23.51	24.63	22.01	26.04	23.08	25.82	28.31	22.26	25.28	22.56	22.35	20.28	22.47	20.7	19.08	19.32	26.72	26.07	22.58	18.7	18.77	18.92	23.08	25.87	23.83	25.67	24.14	21.46	22.75	23.08	19.12	20.32	22.71	20	29.9
GPR17	27.95	27.34	28.91	26.38	28.12	27.31	26.64	26.24	26.89	33.33	31.84	26.22	34.34	31.7	32.61	28.36	23.77	25.28	23.75	21.11	26.79	24.77	21.71	19.84	25.1	22.35	32.97	18.82	17.65	17.92	25.77	25.29	28.06	29.07	26.09	24.11	20	24.31	24.6	26.61	27.02	24.7	25.09
GPR183	24.63	27.04	25.28	27.24	22.26	27.41	28.62	28.21	28.31	24.28	27.54	23.81	30.51	26.37	28.42	26.33	22.14	20.59	23.33	19.93	18.84	20.26	19.32	21.59	22.93	22.09	29.82	17.05	16.29	16.29	18.56	20.91	20.08	19.7	20.08	20.08	22.87	15.65	19.76	19.37	20.16	17.86	28.21
GPR68	27.69	26.44	27.65	25.77	25.57	26.59	23.51	25.83	24.54	23.33	27.41	28.09	26.04	27.24	25.72	25.37	24.14	25.19	23.11	21.45	22.64	22.22	18.46	18.77	28.79	24.03	29.89	15.29	16.86	18.52	17.72	21.01	19.29	18.53	20.93	19.38	22.89	18.97	20.97	20.97	19.76	19.43	24.03
GPR4	26.34	25.1	25.94	24.43	21.97	26.02	25.19	24.54	25.09	23.25	24.63	24.54	26.02	28.78	31.43	25.72	21.89	22.56	19.92	19.06	20.45	18.72	20.61	17.05	23.68	22.78	29.12	14.67	15.5	15.98	19.77	22.39	22.35	20.31	19.38	18.22	23.41	19.07	21.69	20.48	19.28	20.16	30.47
GPR65	26.97	25.75	22.88	23.6	21.72	24.18	24.91	25	24.29	25.09	25.36	23.44	26.39	29.52	31.21	21.22	20.68	21.35	25.09	16.55	22.99	18.39	21.35	18.18	23.62	17.62	27.78	18.39	18.46	16.14	20.38	19.54	20.39	19.47	16.48	19.92	21.01	17.76	22.92	21.74	20.16	19.84	28.27
GPR132	21.32	22.69	23.94	23.26	23.26	20.53	20.15	20.3	22.26	24.53	23.68	24.71	28.41	26.79	30.43	19.19	22.31	22.61	22.01	19.26	18.87	23.04	19.76	20.47	22.99	21.51	27.64	14.62	18.97	17.29	18.25	20.55	17.6	21.18	22	20.8	19.03	19.84	20.49	21.31	21.31	20.58	28.28
P2RY8	26.92	28.85	27.86	26.82	25.29	25.2	23.62	25.58	27.2	24.33	25.86	25.77	37.19	37.1	30.48	23.02	23.28	21.67	22.35	19.92	22.73	17.81	20.75	18.35	25.78	24.91	29.78	16.6	16.22	18.69	17.62	23.94	21.79	20.61	15.71	19.54	21.48	18.01	20	21.2	20.8	20.08	26.74
GPR152	23.02	19.05	21.01	18.97	26.1	22	23.69	22.05	22.22	25.69	21.34	19.6	19.41	20.73	20.08	18.77	20.23	18.22	19.38	19.39	23.17	18.72	16.6	18.7	27.24	23.14	18.49	16.8	14.51	15.35	15.56	21.26	18.25	22.18	18.08	15.38	20.24	21.32	22.04	22.04	20.82	18.78	27.41
GPR182	29.66	29.06	27.17	27.38	25.38	24.81	24.54	27.37	27.8	27.7	28.06	26.62	24.71	28.96	23.7	22.81	26.24	23.57	22.22	20.51	26.89	20.64	19.07	21.79	26.02	20.8	23.51	15.75	18.11	15.64	20.16	21.18	21.26	19.22	21.83	20.24	23.41	22.13	21.95	22.76	19.51	21.22	17.36
GPR25	30.71	26.02	28.25	25.84	29.32	27.64	27.74	27.64	26.35	35.13	33.69	28.78	24.71	24.23	28.62	21.97	26.24	24.24	21.72	23.1	26.67	22.62	21.76	21.62	30.04	26.38	24.25	18.6	18.99	19.18	22.48	25.1	23.92	24.81	24.51	24.12	20.47	23.26	23.81	25.79	25.79	22.31	21.27
GPR15	28.25	26.3	26.94	25.65	27.48	28.15	25.93	25.09	28.68	33.57	32.62	30.22	25.67	27.1	29.7	23.19	26.32	26.32	25.75	23.19	22.96	17.78	19.7	21.46	27.14	18.97	27.61	20.38	21.15	21	21.29	21.84	24.51	23.08	23.17	22.39	22.01	21.15	23.44	22.66	22.27	23.92	20.59
GPR1	31.85	31.87	31.25	31	31.62	27.07	25.56	24.07	25.45	28.73	34.78	29.78	24.33	23.19	26.22	19.16	25.38	25.29	26.89	23.44	22.81	21.46	20.77	22.48	26.55	19.29	27.07	19.92	18.75	22.17	23.05	24.22	20.55	22.96	22.44	22.05	21.83	23.05	24.8	24	24.8	25.3	21.4
GPR33	24.72	26.74	26.74	27.21	29.37	27	25.48	22.01	22.34	26.1	26.74	25.93	17.8	20.08	20.75	20.85	22.39	22.69	23.86	20.59	18.25	21	17.18	18.15	22.51	18.36	22.73	13.18	15.89	16.9	19.07	17.9	18.58	23.74	21.57	21.96	22.44	19.84	20.32	19.52	21.51	20.4	22.3
GPR32	29.63	29.3	32.1	28.78	28.52	22.47	24.44	23.99	22.18	26.74	26.74	30.74	23.55	20.85	24.72	16.86	23.64	22.01	24.43	19.49	22.52	19.55	20.23	22.44	25.91	20	20.83	18.82	17.65	17.37	23.14	27.06	23.11	24.31	21.74	22.53	22.71	21.65	25.3	23.69	24.9	22.98	20.52
